ID,Date,Year,Startup,Industry,SubIndustry,City,Investors,Investment Type,Funding Amount
16,11/12/2019,2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"50,000,000.00"
17,20/12/2019,2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"231,000,000.00"
18,13/11/2019,2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"150,000,000.00"
19,14/11/2019,2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,"486,000.00"
20,13/11/2019,2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"1,500,000.00"
22,18/11/2019,2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,"12,000,000.00"
23,15/11/2019,2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,"26,000,000.00"
24,20/11/2019,2019,Aye Finance,FinTech,Ficial Services To MSMEs,Gurgaon,FinTech,Debt Funding,"17,411,265.00"
25,12/11/2019,2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"1,300,000.00"
26,20/11/2019,2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"135,000,000.00"
27,11/11/2019,2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"300,000.00"
28,19/11/2019,2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,"220,000,000.00"
29,18/11/2019,2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"15,800,000.00"
30,15/11/2019,2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"283,000,000.00"
32,25/11/2019,2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,"1,000,000,000.00"
33,04/10/2019,2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,"45,000,000.00"
34,02/10/2019,2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,"585,000,000.00"
36,05/09/2019,2019,FPL Technologies,FinTech,Ficial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"4,500,000.00"
37,04/09/2019,2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"3,300,000.00"
38,04/09/2019,2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,"6,000,000.00"
39,04/09/2019,2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,"5,000,000.00"
40,04/09/2019,2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"18,000,000.00"
41,04/09/2019,2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,"1,000,000.00"
42,04/09/2019,2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"10,000,000.00"
43,04/09/2019,2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"450,000,000.00"
44,03/09/2019,2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,"5,000,000.00"
